ID,Title,Date,"Post Type","Capjiki 11","Capjiki 13","Capjiki 15","Capjiki 17","Capjiki 19","Capjiki 21"
22,"1 Juli 2023","2023-07-01 21:26:53",capjiki,"enam merah","lima merah","tiga hitam","satu merah","dua merah","satu hitam"
23,"2 Juli 2023","2023-07-02 21:28:19",capjiki,"lima hitam","satu hitam","enam merah","enam hitam","enam hitam","tiga hitam"
24,"3 Juli 2023","2023-07-03 21:28:57",capjiki,"tiga merah","lima merah","enam merah","satu merah","enam hitam","dua hitam"
25,"4 Juli 2023","2023-07-04 21:59:30",capjiki,"dua merah","tiga merah","empat hitam","dua merah","satu hitam","tiga hitam"
26,"5 Juli 2023","2023-07-05 22:00:06",capjiki,"tiga hitam","lima merah","empat merah","lima hitam","lima merah","empat merah"
27,"6 Juli 2023","2023-07-06 22:00:55",capjiki,"empat hitam","tiga merah","empat merah","lima merah","enam merah","satu hitam"
28,"7 Juli 2023","2023-07-07 15:27:37",capjiki,"satu hitam","empat hitam","dua hitam","tiga merah","satu merah","lima merah"
270,"01 Juni 2023","2023-05-31 21:18:06",capjiki,"dua merah","tiga merah","lima hitam","dua hitam","dua hitam","empat merah"
271,"02 Juni 2023","2023-06-01 21:18:06",capjiki,"lima hitam","tiga hitam","satu merah","enam hitam","dua hitam","satu merah"
272,"03 Juni 2023","2023-06-02 21:18:06",capjiki,"satu merah","empat hitam","lima hitam","enam hitam","empat hitam","lima merah"
273,"04 Juni 2023","2023-06-03 21:18:06",capjiki,"empat hitam","enam merah","tiga hitam","tiga hitam","dua merah","dua hitam"
274,"05 Juni 2023","2023-06-04 21:18:06",capjiki,"satu hitam","enam hitam","satu hitam","lima hitam","dua hitam","enam merah"
275,"06 Juni 2023","2023-06-05 21:18:06",capjiki,"enam merah","empat merah","dua merah","empat merah","empat hitam","dua merah"
276,"07 Juni 2023","2023-06-06 21:18:06",capjiki,"tiga hitam","satu merah","empat merah","empat hitam","empat merah","lima merah"
277,"08 Juni 2023","2023-06-07 21:18:06",capjiki,"empat merah","tiga hitam","satu hitam","enam merah","lima hitam","lima merah"
278,"09 Juni 2023","2023-06-08 21:18:06",capjiki,"dua merah","enam hitam","lima merah","satu hitam","enam hitam","enam merah"
279,"10 Juni 2023","2023-06-09 21:18:06",capjiki,"empat hitam","enam merah","lima merah","lima merah","lima merah","enam merah"
280,"11 Juni 2023","2023-06-10 21:18:06",capjiki,"tiga hitam","satu hitam","dua hitam","empat merah","empat merah","tiga hitam"
281,"12 Juni 2023","2023-06-11 21:18:06",capjiki,"lima hitam","tiga merah","dua hitam","satu hitam","satu merah","tiga hitam"
282,"13 Juni 2023","2023-06-12 21:18:06",capjiki,"tiga merah","dua merah","lima merah","dua merah","lima hitam","empat merah"
283,"14 Juni 2023","2023-06-13 21:18:06",capjiki,"dua merah","tiga merah","empat hitam","enam merah","satu merah","lima hitam"
284,"15 Juni 2023","2023-06-14 21:18:06",capjiki,"empat hitam","satu hitam","satu hitam","lima merah","dua merah","satu hitam"
285,"16 Juni 2023","2023-06-15 21:18:06",capjiki,"dua merah","dua hitam","satu hitam","dua merah","empat hitam","empat merah"
286,"17 Juni 2023","2023-06-16 21:18:06",capjiki,"dua merah","lima merah","empat hitam","enam merah","tiga merah","lima hitam"
287,"18 Juni 2023","2023-06-17 21:18:06",capjiki,"dua hitam","enam hitam","empat merah","tiga hitam","enam hitam","enam merah"
288,"19 Juni 2023","2023-06-18 21:18:06",capjiki,"empat merah","satu merah","enam merah","empat hitam","satu hitam","tiga hitam"
289,"20 Juni 2023","2023-06-19 21:18:06",capjiki,"enam hitam","empat hitam","satu merah","tiga merah","empat merah","satu hitam"
290,"21 Juni 2023","2023-06-20 21:18:06",capjiki,"satu merah","tiga hitam","lima merah","dua hitam","tiga merah","empat hitam"
291,"22 Juni 2023","2023-06-21 21:18:06",capjiki,"enam hitam","dua hitam","enam merah","satu merah","tiga hitam","dua hitam"
292,"23 Juni 2023","2023-06-22 21:18:06",capjiki,"empat merah","enam hitam","tiga hitam","tiga merah","tiga merah","tiga merah"
293,"24 Juni 2023","2023-06-23 21:18:06",capjiki,"tiga merah","satu hitam","satu hitam","tiga hitam","enam merah","dua hitam"
294,"25 Juni 2023","2023-06-24 21:18:06",capjiki,"lima merah","enam merah","tiga hitam","satu merah","empat merah","dua hitam"
295,"26 Juni 2023","2023-06-25 21:18:06",capjiki,"dua hitam","lima hitam","enam hitam","empat hitam","dua hitam","empat merah"
296,"27 Juni 2023","2023-06-26 21:18:06",capjiki,"tiga merah","lima merah","lima hitam","satu hitam","empat hitam","empat merah"
297,"28 Juni 2023","2023-06-27 21:18:06",capjiki,"tiga hitam","lima merah","lima hitam","dua hitam","empat merah","enam merah"
298,"29 Juni 2023","2023-06-28 21:18:06",capjiki,"empat hitam","empat merah","dua hitam","dua merah","enam merah","empat merah"
299,"30 Juni 2023","2023-06-29 21:18:06",capjiki,"enam merah","satu merah","dua hitam","tiga merah","dua merah","dua hitam"
